cliente_id,nombre,edad,provincia,segmento,antiguedad_años,balance_ars,cant_productos,cliente_activo,churn
C0001,Cliente 1,56,Buenos Aires,Retail,3.6,475800.0,3,1,1
C0002,Cliente 2,69,CABA,Premium,9.0,3479000.0,4,0,0
C0003,Cliente 3,46,CABA,Retail,3.5,2800.0,1,1,0
C0004,Cliente 4,32,Buenos Aires,Premium,2.5,848400.0,3,0,0
C0005,Cliente 5,60,CABA,Premium,1.7,74200.0,2,1,0
C0006,Cliente 6,25,Córdoba,Retail,11.3,199000.0,2,1,0
C0007,Cliente 7,38,CABA,Retail,0.3,383600.0,2,0,0
C0008,Cliente 8,56,Buenos Aires,Retail,10.7,16100.0,4,1,0
C0009,Cliente 9,36,CABA,Retail,7.0,3700.0,2,1,0
C0010,Cliente 10,40,Buenos Aires,Retail,0.6,209600.0,5,1,0
C0011,Cliente 11,28,Mendoza,Retail,3.3,73400.0,1,0,0
C0012,Cliente 12,28,Buenos Aires,Joven,8.1,4900.0,4,1,1
C0013,Cliente 13,41,Córdoba,Retail,3.4,2661400.0,2,1,0
C0014,Cliente 14,70,Rosario,Retail,9.5,152800.0,1,1,0
C0015,Cliente 15,53,CABA,Premium,11.5,572600.0,3,1,0
C0016,Cliente 16,57,Tucumán,Retail,2.2,464500.0,2,1,0
C0017,Cliente 17,41,Buenos Aires,Joven,1.9,25100.0,1,1,0
C0018,Cliente 18,20,Santa Fe,Premium,11.0,254800.0,5,1,0
C0019,Cliente 19,39,CABA,PyME,4.5,8300.0,3,0,1
C0020,Cliente 20,70,Santa Fe,Retail,0.5,24100.0,5,1,0
C0021,Cliente 21,19,Buenos Aires,Retail,0.2,106800.0,1,1,0
C0022,Cliente 22,41,Buenos Aires,Retail,3.3,4900.0,5,1,0
C0023,Cliente 23,61,Buenos Aires,PyME,10.6,23100.0,1,1,0
C0024,Cliente 24,47,Córdoba,Retail,7.4,14900.0,1,0,0
C0025,Cliente 25,55,Mendoza,Retail,4.5,74100.0,5,1,0
C0026,Cliente 26,19,Santa Fe,Joven,0.6,141800.0,1,1,0
C0027,Cliente 27,38,Buenos Aires,Retail,1.2,182300.0,2,1,0
C0028,Cliente 28,50,Mendoza,Retail,8.3,267900.0,1,1,0
C0029,Cliente 29,29,CABA,Retail,0.8,468900.0,4,1,0
C0030,Cliente 30,39,CABA,Joven,1.3,148900.0,1,1,0
C0031,Cliente 31,61,Buenos Aires,Retail,0.6,1015600.0,4,1,0
C0032,Cliente 32,42,Santa Fe,PyME,4.5,71600.0,1,1,0
C0033,Cliente 33,66,Buenos Aires,PyME,11.5,46200.0,1,1,0
C0034,Cliente 34,44,Córdoba,Retail,1.3,148900.0,5,1,0
C0035,Cliente 35,59,Mendoza,Premium,2.6,151550.0,2,0,0
C0036,Cliente 36,45,Buenos Aires,Retail,4.0,964000.0,2,1,0
C0037,Cliente 37,33,CABA,Retail,20.0,326600.0,3,1,0
C0038,Cliente 38,32,Buenos Aires,PyME,0.4,184500.0,5,1,0
C0039,Cliente 39,64,CABA,PyME,2.8,72900.0,5,1,0
C0040,Cliente 40,68,CABA,Premium,1.9,113750.0,2,1,0
C0041,Cliente 41,61,CABA,Premium,8.0,599900.0,5,0,0
C0042,Cliente 42,69,Córdoba,Retail,2.6,11000.0,2,1,0
C0043,Cliente 43,20,CABA,Retail,0.5,598100.0,5,0,1
C0044,Cliente 44,54,Córdoba,Retail,4.0,45900.0,1,1,0
C0045,Cliente 45,68,Santa Fe,Retail,5.9,94600.0,2,1,0
C0046,Cliente 46,24,Córdoba,Retail,0.0,15300.0,2,0,1
C0047,Cliente 47,38,Córdoba,Retail,7.8,177100.0,4,1,0
C0048,Cliente 48,26,Córdoba,Retail,0.8,30300.0,5,0,0
C0049,Cliente 49,56,CABA,Retail,3.2,158600.0,5,1,0
C0050,Cliente 50,35,CABA,Premium,2.2,652750.0,2,0,1
C0051,Cliente 51,21,Mendoza,PyME,5.1,22700.0,1,1,1
C0052,Cliente 52,42,Córdoba,Retail,1.9,11100.0,1,1,0
C0053,Cliente 53,31,Buenos Aires,Joven,8.2,595900.0,1,1,0
C0054,Cliente 54,67,CABA,PyME,5.2,44900.0,5,1,0
C0055,Cliente 55,26,CABA,Retail,4.2,83900.0,4,1,0
C0056,Cliente 56,43,Tucumán,PyME,6.4,124000.0,2,1,0
C0057,Cliente 57,70,Buenos Aires,Premium,5.6,31850.0,3,1,0
C0058,Cliente 58,19,Buenos Aires,Premium,0.1,419650.0,4,1,0
C0059,Cliente 59,37,CABA,Retail,2.0,69500.0,3,0,1
C0060,Cliente 60,45,CABA,Premium,10.7,79800.0,4,1,0
C0061,Cliente 61,64,Mendoza,Retail,0.5,10600.0,1,1,0
C0062,Cliente 62,24,Buenos Aires,Premium,5.3,520100.0,5,1,0
C0063,Cliente 63,61,Santa Fe,Premium,14.7,1137500.0,3,1,0
C0064,Cliente 64,25,Buenos Aires,Premium,0.2,274050.0,4,1,0
C0065,Cliente 65,64,Mendoza,Premium,4.6,24500.0,5,1,1
C0066,Cliente 66,52,Buenos Aires,PyME,2.5,12300.0,3,0,0
C0067,Cliente 67,31,Buenos Aires,Retail,3.5,31300.0,2,0,0
C0068,Cliente 68,34,Córdoba,Retail,0.4,625900.0,4,1,0
C0069,Cliente 69,53,Rosario,PyME,0.2,41400.0,2,1,1
C0070,Cliente 70,67,Mendoza,Retail,4.4,29600.0,1,1,0
C0071,Cliente 71,57,Córdoba,Retail,6.9,4900.0,2,1,0
C0072,Cliente 72,21,Tucumán,Retail,6.1,22400.0,2,1,0
C0073,Cliente 73,19,Buenos Aires,Retail,3.1,9400.0,4,1,1
C0074,Cliente 74,23,Rosario,Joven,0.4,13300.0,1,1,0
C0075,Cliente 75,71,CABA,Premium,4.7,250950.0,2,1,0
C0076,Cliente 76,59,Santa Fe,Joven,1.1,32800.0,5,1,1
C0077,Cliente 77,21,Mendoza,Premium,9.7,2681700.0,3,0,0
C0078,Cliente 78,71,Santa Fe,Retail,7.3,301600.0,2,1,0
C0079,Cliente 79,46,CABA,Retail,4.9,24000.0,1,0,0
C0080,Cliente 80,35,CABA,Premium,11.9,52850.0,2,0,1
C0081,Cliente 81,43,Mendoza,Retail,0.1,476400.0,3,1,0
C0082,Cliente 82,61,Buenos Aires,PyME,5.3,722200.0,1,1,1
C0083,Cliente 83,51,Rosario,PyME,1.6,2200.0,4,1,0
C0084,Cliente 84,27,Santa Fe,Retail,9.5,68800.0,1,0,0
C0085,Cliente 85,53,Buenos Aires,Joven,1.2,41000.0,4,0,1
C0086,Cliente 86,31,Santa Fe,PyME,5.2,158500.0,1,1,0
C0087,Cliente 87,48,CABA,Premium,8.4,3862250.0,3,1,0
C0088,Cliente 88,65,Santa Fe,Retail,0.2,29000.0,3,0,0
C0089,Cliente 89,32,Santa Fe,Retail,2.0,2700.0,1,1,0
C0090,Cliente 90,25,Buenos Aires,Premium,5.7,499450.0,2,0,0
C0091,Cliente 91,31,CABA,Retail,2.4,481600.0,3,0,0
C0092,Cliente 92,40,Tucumán,Retail,1.2,38000.0,4,1,0
C0093,Cliente 93,57,CABA,PyME,1.0,20800.0,4,1,1
C0094,Cliente 94,38,Córdoba,Retail,0.6,31100.0,5,1,0
C0095,Cliente 95,33,CABA,Premium,7.8,750050.0,4,1,1
C0096,Cliente 96,62,CABA,Joven,3.4,30300.0,5,1,0
C0097,Cliente 97,35,CABA,PyME,0.3,98000.0,1,1,0
C0098,Cliente 98,64,CABA,Retail,1.9,62400.0,1,0,0
C0099,Cliente 99,70,Buenos Aires,PyME,1.8,53500.0,1,0,0
C0100,Cliente 100,41,Córdoba,Retail,0.8,171400.0,2,1,0
C0101,Cliente 101,43,Buenos Aires,Retail,2.3,29200.0,2,0,0
C0102,Cliente 102,42,Buenos Aires,Premium,1.6,109900.0,5,1,1
C0103,Cliente 103,62,Buenos Aires,Retail,1.7,198100.0,4,1,1
C0104,Cliente 104,58,Buenos Aires,Retail,5.4,13600.0,4,1,0
C0105,Cliente 105,46,CABA,Premium,1.0,56000.0,1,1,1
C0106,Cliente 106,32,Córdoba,Retail,4.1,9000.0,3,0,0
C0107,Cliente 107,62,Santa Fe,Retail,3.4,214000.0,2,1,0
C0108,Cliente 108,18,Buenos Aires,Retail,3.4,51100.0,2,1,1
C0109,Cliente 109,42,Mendoza,PyME,4.4,8300.0,1,1,0
C0110,Cliente 110,24,Santa Fe,Premium,3.2,754250.0,2,1,0
C0111,Cliente 111,26,CABA,Retail,8.5,26000.0,1,1,0
C0112,Cliente 112,41,Tucumán,Retail,4.5,16200.0,5,1,0
C0113,Cliente 113,18,Rosario,Retail,3.2,44600.0,4,1,0
C0114,Cliente 114,61,Buenos Aires,Retail,7.1,550200.0,3,1,0
C0115,Cliente 115,25,CABA,PyME,3.7,33100.0,4,0,1
C0116,Cliente 116,41,Tucumán,Retail,1.4,141900.0,4,1,0
C0117,Cliente 117,28,Santa Fe,Retail,0.9,178200.0,5,1,0
C0118,Cliente 118,68,Buenos Aires,Premium,0.7,407400.0,2,1,0
C0119,Cliente 119,34,Santa Fe,Premium,9.2,1410500.0,3,1,0
C0120,Cliente 120,25,Mendoza,Premium,5.0,72450.0,2,1,0
C0121,Cliente 121,52,Santa Fe,Retail,11.1,12500.0,4,1,0
C0122,Cliente 122,52,Santa Fe,Retail,3.7,12200.0,1,0,1
C0123,Cliente 123,50,Mendoza,Retail,2.6,48200.0,4,1,1
C0124,Cliente 124,22,Buenos Aires,Retail,0.2,14500.0,2,0,0
C0125,Cliente 125,59,Buenos Aires,Premium,4.5,261450.0,4,0,1
C0126,Cliente 126,56,Córdoba,PyME,3.5,67200.0,1,1,0
C0127,Cliente 127,58,Tucumán,PyME,18.5,275900.0,5,1,1
C0128,Cliente 128,45,CABA,PyME,1.1,92700.0,2,1,0
C0129,Cliente 129,24,Córdoba,Retail,3.0,32100.0,4,0,0
C0130,Cliente 130,26,Córdoba,Premium,4.2,388150.0,2,0,0
C0131,Cliente 131,25,CABA,Retail,4.1,12800.0,5,1,0
C0132,Cliente 132,29,Santa Fe,Premium,3.3,197750.0,4,0,0
C0133,Cliente 133,51,Mendoza,Retail,6.0,96700.0,4,1,1
C0134,Cliente 134,50,Córdoba,Retail,0.9,72700.0,2,0,0
C0135,Cliente 135,65,CABA,Retail,5.2,111600.0,2,0,0
