prestamo_id,cliente_id,tipo,monto_otorgado,tasa_anual,plazo_meses,fecha_otorgamiento,estado,provincia
P0001,C0510,Consumo,293000.0,0.96,36,2023-04-20,Al día,Córdoba
P0002,C0666,Personal,181000.0,1.37,60,2023-11-12,Al día,Santa Fe
P0003,C0030,Hipotecario,152000.0,1.18,36,2024-05-22,Al día,Rosario
P0004,C0084,Consumo,186000.0,0.73,24,2024-06-26,Al día,Rosario
P0005,C0089,Consumo,221000.0,0.62,36,2023-11-06,Al día,Buenos Aires
P0006,C0522,Consumo,87000.0,0.79,48,2023-11-04,90+ días mora,Rosario
P0007,C0442,Consumo,377000.0,1.03,48,2023-04-18,Al día,Santa Fe
P0008,C0914,Automotriz,83000.0,1.53,60,2024-03-14,Al día,Santa Fe
P0009,C0553,Hipotecario,25000.0,1.3,60,2024-11-15,30 días mora,Tucumán
P0010,C0817,Hipotecario,59000.0,1.46,60,2024-12-28,60 días mora,Santa Fe
P0011,C0529,Hipotecario,72000.0,1.0,60,2024-04-21,60 días mora,Buenos Aires
P0012,C0748,Hipotecario,222000.0,1.17,24,2024-12-17,Al día,Santa Fe
P0013,C0467,Personal,118000.0,0.66,60,2024-10-23,Al día,Santa Fe
P0014,C0227,Automotriz,87000.0,1.13,24,2023-09-28,60 días mora,CABA
P0015,C0356,Hipotecario,201000.0,1.77,48,2024-05-10,Al día,CABA
P0016,C0816,Personal,579000.0,1.5,24,2024-12-28,90+ días mora,CABA
P0017,C0805,Personal,38000.0,0.6,24,2023-09-06,Cancelado,Rosario
P0018,C0679,Automotriz,223000.0,0.68,12,2024-10-11,Al día,Córdoba
P0019,C0181,Personal,135000.0,1.63,60,2023-08-25,Al día,Santa Fe
P0020,C0411,Consumo,61000.0,1.24,60,2024-07-03,Al día,Córdoba
P0021,C0177,Automotriz,31000.0,1.76,24,2024-04-23,90+ días mora,Santa Fe
P0022,C0354,Hipotecario,870000.0,1.43,24,2023-11-28,Al día,CABA
P0023,C0388,Personal,351000.0,0.61,48,2023-10-16,Al día,CABA
P0024,C0727,Automotriz,1327000.0,1.33,60,2023-06-23,30 días mora,Buenos Aires
P0025,C0610,Personal,100000.0,0.67,12,2023-11-17,Al día,Buenos Aires
P0026,C0890,Personal,186000.0,1.52,36,2024-06-24,Al día,Tucumán
P0027,C0067,Consumo,74000.0,0.94,36,2023-08-04,Al día,Mendoza
P0028,C0195,Consumo,208000.0,0.89,24,2023-03-19,30 días mora,Buenos Aires
P0029,C0269,Automotriz,222000.0,1.56,24,2024-05-27,Al día,Córdoba
P0030,C0351,Personal,185000.0,1.73,48,2024-08-16,Al día,CABA
P0031,C0314,Automotriz,398000.0,1.6,24,2023-07-11,Al día,Córdoba
P0032,C0971,Personal,52000.0,0.95,12,2023-04-28,60 días mora,Rosario
P0033,C0495,PyME,95000.0,1.32,48,2023-02-07,Al día,Córdoba
P0034,C0430,Automotriz,404000.0,1.35,12,2024-07-11,30 días mora,Buenos Aires
P0035,C0263,Consumo,45000.0,1.0,36,2023-06-30,60 días mora,Santa Fe
P0036,C0533,Personal,98000.0,1.37,12,2023-06-19,Al día,CABA
P0037,C0973,Automotriz,1413000.0,1.57,48,2024-10-28,Al día,Córdoba
P0038,C0455,Consumo,140000.0,0.6,60,2023-09-07,Al día,Buenos Aires
P0039,C0370,PyME,66000.0,1.15,48,2023-01-29,Al día,Santa Fe
P0040,C0981,Consumo,4592000.0,1.52,48,2024-09-03,Al día,Tucumán
P0041,C0882,Personal,101000.0,0.83,36,2024-01-16,30 días mora,Tucumán
P0042,C0225,Hipotecario,81000.0,1.75,24,2024-01-26,Al día,Buenos Aires
P0043,C0602,Hipotecario,6273000.0,1.69,12,2024-07-24,60 días mora,Córdoba
P0044,C0133,Personal,196000.0,1.0,60,2024-02-02,Al día,CABA
P0045,C0579,Automotriz,618000.0,0.92,12,2024-12-27,30 días mora,Buenos Aires
P0046,C0179,Hipotecario,182000.0,0.75,48,2023-03-31,Al día,CABA
P0047,C0778,Personal,170000.0,1.36,60,2023-02-12,Al día,Rosario
P0048,C0320,Automotriz,359000.0,0.68,24,2023-02-11,Al día,Córdoba
P0049,C0078,Personal,63000.0,0.66,60,2023-01-03,Al día,Buenos Aires
P0050,C0368,Hipotecario,126000.0,0.86,12,2024-01-15,60 días mora,Córdoba
P0051,C0421,Consumo,28000.0,1.26,24,2023-07-17,Al día,Buenos Aires
P0052,C0612,Consumo,263000.0,0.92,36,2023-11-20,30 días mora,Córdoba
P0053,C0100,Automotriz,658000.0,1.42,24,2024-03-19,Al día,Buenos Aires
P0054,C0185,Personal,240000.0,1.72,36,2023-02-02,60 días mora,CABA
P0055,C0232,Hipotecario,1382000.0,1.8,60,2023-11-03,Al día,Santa Fe
P0056,C0831,Consumo,189000.0,0.7,12,2024-10-17,Al día,Buenos Aires
P0057,C0848,Automotriz,125000.0,1.46,36,2023-02-20,Al día,CABA
P0058,C0771,PyME,226000.0,1.11,36,2024-05-07,30 días mora,Buenos Aires
P0059,C0763,Automotriz,119000.0,1.19,48,2024-04-24,Al día,Buenos Aires
P0060,C0879,Consumo,232000.0,0.87,36,2024-01-23,Al día,Santa Fe
P0061,C0223,Personal,140000.0,0.76,24,2024-11-03,Al día,Tucumán
P0062,C0527,Automotriz,29000.0,1.24,48,2023-11-06,90+ días mora,CABA
P0063,C0873,Consumo,31000.0,1.78,24,2024-08-20,Al día,Buenos Aires
P0064,C0441,Automotriz,241000.0,1.55,60,2023-08-08,30 días mora,CABA
P0065,C0492,Consumo,171000.0,0.6,36,2024-07-18,Al día,Córdoba
P0066,C0845,Personal,609000.0,1.37,48,2023-04-04,Al día,Rosario
P0067,C0757,Personal,120000.0,1.69,24,2024-06-03,Al día,Mendoza
P0068,C0101,Hipotecario,124000.0,1.32,36,2023-10-11,Cancelado,Santa Fe
P0069,C0616,Personal,166000.0,1.36,60,2023-03-14,30 días mora,Santa Fe
P0070,C0940,Automotriz,279000.0,1.61,60,2023-05-26,30 días mora,Mendoza
P0071,C0850,Consumo,614000.0,1.51,12,2023-04-23,Al día,CABA
