tarjeta_id,cliente_id,tipo_tarjeta,limite_credito,fecha_emision,activa
T00001,C0001,Visa Débito,0,2014-04-20,1
T00002,C0001,Mastercard Crédito,4420000,2020-05-10,1
T00003,C0001,Amex Crédito,6170000,2008-12-14,1
T00004,C0001,Visa Crédito,9560000,2022-02-10,1
T00005,C0002,Visa Débito,0,2024-10-10,0
T00006,C0003,Visa Débito,0,2021-10-21,0
T00007,C0003,Visa Crédito,630000,2023-03-22,0
T00008,C0003,Mastercard Crédito,340000,2024-02-09,0
T00009,C0004,Visa Débito,0,2023-04-18,1
T00010,C0004,Mastercard Crédito,660000,2024-10-14,1
T00011,C0005,Visa Débito,0,2024-08-07,0
T00012,C0006,Visa Débito,0,2024-11-06,1
T00013,C0006,Visa Crédito,7220000,2023-12-26,1
T00014,C0007,Visa Débito,0,2024-02-19,1
T00015,C0007,Amex Crédito,2380000,2023-02-10,1
T00016,C0008,Visa Débito,0,2020-02-10,1
T00017,C0008,Visa Crédito,8170000,2017-05-06,1
T00018,C0008,Amex Crédito,7240000,2018-08-15,1
T00019,C0009,Visa Débito,0,2021-06-17,1
T00020,C0009,Amex Crédito,5780000,2020-01-09,1
T00021,C0009,Visa Crédito,5910000,2021-09-22,1
T00022,C0009,Mastercard Crédito,5660000,2021-08-06,1
T00023,C0010,Visa Débito,0,2024-11-27,1
T00024,C0011,Visa Débito,0,2024-04-24,1
T00025,C0011,Visa Crédito,2760000,2023-04-01,1
T00026,C0011,Mastercard Crédito,1910000,2024-07-11,1
T00027,C0011,Amex Crédito,3440000,2024-04-04,1
T00028,C0012,Visa Débito,0,2024-09-17,1
T00029,C0013,Visa Débito,0,2024-11-25,0
T00030,C0013,Amex Crédito,3970000,2024-11-26,1
T00031,C0013,Visa Crédito,3540000,2024-11-24,1
T00032,C0014,Visa Débito,0,2023-03-31,1
T00033,C0014,Mastercard Crédito,2710000,2020-03-25,1
T00034,C0014,Visa Crédito,1470000,2021-10-28,1
T00035,C0015,Visa Débito,0,2006-10-14,1
T00036,C0015,Amex Crédito,8820000,2015-05-22,1
T00037,C0015,Visa Crédito,7690000,2016-03-03,1
T00038,C0016,Visa Débito,0,2024-04-22,0
T00039,C0017,Visa Débito,0,2024-07-14,1
T00040,C0017,Visa Crédito,3200000,2023-10-29,1
T00041,C0018,Visa Débito,0,2024-01-21,1
T00042,C0018,Mastercard Crédito,550000,2024-02-13,1
T00043,C0019,Visa Débito,0,2021-10-27,1
T00044,C0019,Mastercard Crédito,570000,2023-07-10,1
T00045,C0020,Visa Débito,0,2024-09-05,1
T00046,C0020,Visa Crédito,1770000,2024-11-01,1
T00047,C0020,Amex Crédito,1750000,2024-08-26,1
T00048,C0021,Visa Débito,0,2024-11-04,1
T00049,C0021,Visa Crédito,700000,2022-09-07,1
T00050,C0021,Mastercard Crédito,890000,2022-07-12,1
T00051,C0022,Visa Débito,0,2021-01-31,1
T00052,C0022,Visa Crédito,1320000,2020-05-12,1
T00053,C0024,Visa Débito,0,2024-11-22,0
T00054,C0024,Visa Crédito,390000,2022-12-04,0
T00055,C0024,Mastercard Crédito,580000,2023-04-02,0
T00056,C0025,Visa Débito,0,2024-10-22,1
T00057,C0025,Amex Crédito,9800000,2024-08-05,1
T00058,C0025,Mastercard Crédito,6890000,2024-11-16,0
T00059,C0026,Visa Débito,0,2022-01-11,1
T00060,C0026,Mastercard Crédito,760000,2021-12-11,0
T00061,C0027,Visa Débito,0,2023-07-01,1
T00062,C0027,Amex Crédito,3760000,2024-06-30,1
T00063,C0027,Mastercard Crédito,3030000,2024-02-10,1
T00064,C0028,Visa Débito,0,2024-02-03,1
T00065,C0028,Visa Crédito,2760000,2024-10-21,1
T00066,C0028,Mastercard Crédito,3240000,2024-04-18,1
T00067,C0029,Visa Débito,0,2022-09-29,1
T00068,C0030,Visa Débito,0,2024-07-23,1
T00069,C0030,Visa Crédito,470000,2024-07-02,1
T00070,C0030,Mastercard Crédito,620000,2024-08-24,1
T00071,C0031,Visa Débito,0,2015-04-20,1
