transaccion_id,tarjeta_id,cliente_id,fecha,monto_ars,categoria,tipo,aprobada
TX000001,T00109,C0051,2024-01-01,15670.15,Restaurant,crédito,1
TX000002,T00108,C0051,2024-01-01,45103.66,Indumentaria,crédito,1
TX000003,T00117,C0055,2024-01-01,27264.84,Supermercado,crédito,1
TX000004,T00169,C0076,2024-01-01,22203.25,Servicios,débito,1
TX000005,T00178,C0080,2024-01-01,79339.47,Combustible,débito,1
TX000006,T00228,C0099,2024-01-01,18451.22,Supermercado,débito,1
TX000007,T00331,C0148,2024-01-01,48438.48,Servicios,débito,1
TX000008,T00337,C0152,2024-01-01,81323.04,Transferencia,débito,1
TX000009,T00340,C0153,2024-01-01,35241.66,Salud,crédito,1
TX000010,T00386,C0177,2024-01-01,62308.84,Viajes,débito,1
TX000011,T00424,C0196,2024-01-01,55574.98,Transferencia,débito,1
TX000012,T00431,C0200,2024-01-01,5724.69,Servicios,débito,1
TX000013,T00464,C0214,2024-01-01,28160.11,Salud,crédito,0
TX000014,T00469,C0216,2024-01-01,65213.37,Supermercado,crédito,1
TX000015,T00499,C0232,2024-01-01,7581.75,Supermercado,crédito,1
TX000016,T00510,C0238,2024-01-01,20468.09,Servicios,crédito,1
TX000017,T00551,C0257,2024-01-01,10510.26,Restaurant,crédito,1
TX000018,T00583,C0275,2024-01-01,26213.55,Servicios,débito,1
TX000019,T00604,C0284,2024-01-01,26144.97,Indumentaria,débito,0
TX000020,T00618,C0291,2024-01-01,18042.36,Indumentaria,débito,1
TX000021,T00630,C0297,2024-01-01,3085.45,Entretenimiento,crédito,1
TX000022,T00655,C0309,2024-01-01,37570.14,Supermercado,débito,1
TX000023,T00739,C0349,2024-01-01,15497.84,Servicios,débito,1
TX000024,T00767,C0360,2024-01-01,24493.05,Supermercado,débito,1
TX000025,T00787,C0371,2024-01-01,14780.93,Salud,débito,1
TX000026,T00788,C0372,2024-01-01,136810.63,Combustible,débito,1
TX000027,T00850,C0400,2024-01-01,120749.11,Servicios,débito,1
TX000028,T00873,C0409,2024-01-01,4211.65,Combustible,débito,1
TX000029,T00960,C0450,2024-01-01,24797.96,Entretenimiento,crédito,1
TX000030,T00972,C0458,2024-01-01,28021.65,Salud,crédito,1
TX000031,T00994,C0467,2024-01-01,65432.11,E-commerce,crédito,0
TX000032,T01084,C0511,2024-01-01,28257.0,Servicios,débito,1
